Name,Description,Price,Region,AvailabilityZone
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-2,apse2-az2
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-2,apse2-az3
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-3,apse3-az1
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-3,apse3-az2
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,ap-southeast-3,apse3-az3
gp3,SSD-backed General Purpose Disk,0.00012222222222222221,ca-central-1,cac1-az1
gp3,SSD-backed General Purpose Disk,0.00012222222222222221,ca-central-1,cac1-az2
gp3,SSD-backed General Purpose Disk,0.00012222222222222221,ca-central-1,cac1-az4
gp3,SSD-backed General Purpose Disk,0.00013222222222222224,eu-central-1,euc1-az1
gp3,SSD-backed General Purpose Disk,0.00013222222222222224,eu-central-1,euc1-az2
gp3,SSD-backed General Purpose Disk,0.00013222222222222224,eu-central-1,euc1-az3
gp3,SSD-backed General Purpose Disk,0.0001161111111111111,eu-north-1,eun1-az1
gp3,SSD-backed General Purpose Disk,0.0001161111111111111,eu-north-1,eun1-az2
gp3,SSD-backed General Purpose Disk,0.0001161111111111111,eu-north-1,eun1-az3
gp3,SSD-backed General Purpose Disk,0.00012833333333333333,eu-south-1,eus1-az1
gp3,SSD-backed General Purpose Disk,0.00012833333333333333,eu-south-1,eus1-az2
gp3,SSD-backed General Purpose Disk,0.00012833333333333333,eu-south-1,eus1-az3
gp3,SSD-backed General Purpose Disk,0.00012222222222222221,eu-west-1,euw1-az1
gp3,SSD-backed General Purpose Disk,0.00012222222222222221,eu-west-1,euw1-az2
gp3,SSD-backed General Purpose Disk,0.00012222222222222221,eu-west-1,euw1-az3
gp3,SSD-backed General Purpose Disk,0.0001288888888888889,eu-west-2,euw2-az1
gp3,SSD-backed General Purpose Disk,0.0001288888888888889,eu-west-2,euw2-az2
gp3,SSD-backed General Purpose Disk,0.0001288888888888889,eu-west-2,euw2-az3
gp3,SSD-backed General Purpose Disk,0.0001288888888888889,eu-west-3,euw3-az1
gp3,SSD-backed General Purpose Disk,0.0001288888888888889,eu-west-3,euw3-az2
gp3,SSD-backed General Purpose Disk,0.0001288888888888889,eu-west-3,euw3-az3
gp3,SSD-backed General Purpose Disk,0.00013444444444444444,me-central-1,mec1-az1
gp3,SSD-backed General Purpose Disk,0.00013444444444444444,me-central-1,mec1-az2
gp3,SSD-backed General Purpose Disk,0.00013444444444444444,me-central-1,mec1-az3
gp3,SSD-backed General Purpose Disk,0.00013444444444444444,me-south-1,mes1-az1
gp3,SSD-backed General Purpose Disk,0.00013444444444444444,me-south-1,mes1-az2
gp3,SSD-backed General Purpose Disk,0.00013444444444444444,me-south-1,mes1-az3
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-1,use1-az1
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-1,use1-az2
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-1,use1-az3
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-1,use1-az4
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-1,use1-az5
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-1,use1-az6
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-2,use2-az1
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-2,use2-az2
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-east-2,use2-az3
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,us-west-1,usw1-az1
gp3,SSD-backed General Purpose Disk,0.00013333333333333334,us-west-1,usw1-az3
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-west-2,usw2-az1
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-west-2,usw2-az2
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-west-2,usw2-az3
gp3,SSD-backed General Purpose Disk,0.00011111111111111112,us-west-2,usw2-az4
io2,SSD-backed Provisioned IOPS Disk,0.00021083333333333333,ap-east-1,ape1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00021083333333333333,ap-east-1,ape1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00021083333333333333,ap-east-1,ape1-az3
io2,SSD-backed Provisioned IOPS Disk,0.0001972222222222222,ap-northeast-1,apne1-az1
io2,SSD-backed Provisioned IOPS Disk,0.0001972222222222222,ap-northeast-1,apne1-az2
io2,SSD-backed Provisioned IOPS Disk,0.0001972222222222222,ap-northeast-1,apne1-az4
io2,SSD-backed Provisioned IOPS Disk,0.0001775,ap-northeast-2,apne2-az1
io2,SSD-backed Provisioned IOPS Disk,0.0001775,ap-northeast-2,apne2-az2
io2,SSD-backed Provisioned IOPS Disk,0.0001775,ap-northeast-2,apne2-az3
io2,SSD-backed Provisioned IOPS Disk,0.0001775,ap-northeast-2,apne2-az4
io2,SSD-backed Provisioned IOPS Disk,0.00018194444444444445,ap-south-1,aps1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00018194444444444445,ap-south-1,aps1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00018194444444444445,ap-south-1,aps1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ap-southeast-1,apse1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ap-southeast-1,apse1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ap-southeast-1,apse1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ap-southeast-2,apse2-az1
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ap-southeast-2,apse2-az2
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ap-southeast-2,apse2-az3
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ca-central-1,cac1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ca-central-1,cac1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,ca-central-1,cac1-az4
io2,SSD-backed Provisioned IOPS Disk,0.00020694444444444444,eu-central-1,euc1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00020694444444444444,eu-central-1,euc1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00020694444444444444,eu-central-1,euc1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00018208333333333333,eu-north-1,eun1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00018208333333333333,eu-north-1,eun1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00018208333333333333,eu-north-1,eun1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,eu-west-1,euw1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,eu-west-1,euw1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,eu-west-1,euw1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00020138888888888886,eu-west-2,euw2-az1
io2,SSD-backed Provisioned IOPS Disk,0.00020138888888888886,eu-west-2,euw2-az2
io2,SSD-backed Provisioned IOPS Disk,0.00020138888888888886,eu-west-2,euw2-az3
io2,SSD-backed Provisioned IOPS Disk,0.00021083333333333333,me-south-1,mes1-az1
